,seed,actions
0,0,"[2, 2, 2, 3, 3, 3, 1, 2, 2, 2, 2]"
1,1,"[3, 3, 0, 0, 2, 2, 0, 3, 0, 2, 2, 3, 3, 1, 2, 1, 3, 3, 1, 1, 2, 2, 0, 3, 2, 1, 3, 3, 0]"
2,2,"[3, 2, 1, 1, 3, 3, 0, 0, 2, 2, 0, 3, 3, 2, 2, 1, 3, 3, 1, 1, 2, 2, 0, 3, 2, 1, 3, 3, 0, 2, 2, 0, 3, 3]"
3,3,"[1, 2, 2, 2, 1, 3, 3, 1, 3, 3, 0, 2, 2, 2, 3, 3, 3, 1, 1, 2, 2, 1, 2, 0, 2, 0, 3, 3, 2, 2, 1, 3, 3, 3, 0, 3, 0, 2, 2]"
4,4,"[0, 0, 0, 0, 1, 1, 3, 0, 0]"
5,5,"[0, 0, 2, 0, 0, 3, 0, 2, 2, 2, 3, 3, 3, 1, 2, 1, 3, 1, 1, 1, 2, 0, 0]"
6,6,[]
7,7,"[3, 3, 0, 0, 1, 1, 2, 0]"
8,8,"[1, 3, 3, 3, 3, 0, 0, 0, 3, 1]"
9,9,"[0, 0, 2, 0, 2, 2, 1, 1, 3, 0, 2, 0, 3, 3, 2, 2, 1, 3, 3, 3, 1, 2]"
10,10,[]
11,11,[]
12,12,"[1, 2, 2, 2, 1, 3, 3, 1, 3, 3, 0, 2, 2, 2, 3, 3, 0, 2, 2, 2, 1, 1, 1, 3, 3, 0, 3, 3, 0, 2, 2, 2, 2, 0, 3, 3, 3, 0, 3, 3, 1, 2, 2, 2, 3, 3, 3, 0, 2, 2, 2, 2, 1, 3, 3, 3, 3, 0, 2, 2, 2, 2, 2, 1, 1, 3, 3, 2, 2, 1, 3, 3, 3, 3, 0, 0, 3, 0, 2, 2, 2, 2, 2, 1, 3, 3, 3, 1, 3, 1, 2, 2, 3, 3, 0, 2, 2, 2, 1, 3, 3, 3, 0, 2, 2, 2, 2, 1, 1, 3, 2, 0, 3, 3, 1]"
